,Title,Description,Keywords,Categories,Stakeholders,Importance,Methdologies,Timeframes,Program,Miscellaneous,Author,History
35,Automatic Detection and Obfuscation of Facial and/or Personal Data of People in AR User Vicinity,"In or in proximity of an AR-enabled user's workplace, and in the field of view of the AR display's camera, there may be people who have not agreed to (or are not able to grant permission for) their facial features or any personal data to be included in the AR system's live video stream. If the private information of a person is captured without their explicit permission, a company may be held responsible for storing and any future use of the data. To reduce potential liabilities, entities responsible for a workplace will seek to implement a component of an AR display that removes all unrecognized faces from their systems.

This research topic includes using automatic detection of faces in an AR camera's field of view, determining if the detected facial features are among those of people who have granted their permission to be tracked, and if the face does not match any in the database of those who have granted permission, to automatically and continuously obfuscate the features.

","face detection, facial identification, obfuscation of region of interest, personal information, privacy, privacy protection, security, compliance, biometrics, data security, access protocols","Technology, End User and User Experience, Business","All stakeholders in corporate security organizations including but not limited to privacy managers, workplace policy managers and risk managers. In order for obfuscation to be implemented in commercial systems, the research would need to take into account the requirements of the AR display ecosystem players (e.g., OEMs, solutions providers, system integrators and independent software vendors) who could leverage the results.","- Employees of AREA member companies may use their AR-enabled systems, including cameras and microphones, in public spaces or in the presence of customers, employees of partner organizations or elsewhere that are not in their exclusive control.
- If an employee is using an AR device in the presence of people who have not granted permission for their personal information, including but not limited to facial features, to be stored and used by the company, the company may be exposed to penalties for breaching privacy data protection regulations.
- Technology components that remove or reduce this type of risk will increase compliance without the user's needing to take action or interrupt the processes they are following to perform a task.","The research will identify and evaluate automatic facial detection and identification technologies for suitability on an AR display. This may include assessment of speed, reliability and computational complexity. Computer vision solutions that meet requirements will need to be compared and tested to ensure that they do not reduce display performance or ability to meet the requirements of the user's primary AR use cases.

This topic may also involve introducing systems that interrupt an AR-assisted process and prompt a user to change orientations and/or ask unauthorized people to move out of camera view.",Medium,"This topic can be combined with the study of automatic detection and management of other sensitive data types. For example, the license plates of cars, names of people appearing in semi-public places (e.g. postal box), and voices of people in proximity of the AR-enabled user could be selectively removed based on the local regulations and privacy policies. It could also be combined with the research [ra-Tauthentication5-biometric][on biometric authentication for AR display users].",A 2014 peer-reviewed paper https://www.researchgate.net/publication/323372332_Face_Recognition_and_Privacy_in_the_Age_of_Augmented_Reality[describes tests performed and highlights the implications of the convergence of face recognition technology and use of AR].,Christine Perey,2021-08-31
36,Cybersecurity Risk Assessment and Reduction for AR Environments,"Sensitive enterprise or customer data could be exposed to threats from hostile actors when in field of view of AR-enabled cameras, and/or when sent to users' AR device in order to support their task performance. The hostile actors may interfere with transmission of sensitive data, interrupt or distort its presentation to the user in the AR display, or could operate without detection while ""scraping"" enterprise or customer data for other users. Cybersecurity threat identification and assessment, and mitigation measures for those managing the AR displays in a company are critical to integration of AR in mission critical environments and need to be studied.

Approaches to reducing risk and increasing resilience of AR display devices can be tested and industry guidelines and best practices published by and for cybersecurity experts. The scope of the research could include comparisons of device vs wireless network security.

","Cybersecurity, risk, encryption, distributed ledger technologies, integration, data interception, network security, security of data, computer crime, computer network security, computer privacy, cryptographic protocols, fraud, intrusion detection, data protection, blockchain, access control","Technology, Business","Data security officers, employees working in highly sensitive disciplines, customer data protection, employees using AR in the field to access secure databases,","- Enterprises cannot integrate and deploy technologies that introduce risk to their intellectual property or customer data.
- As long as their data is at risk of exposure, security experts will prevent AR adoption in domains or workplaces where there is uncertainty or risk of exposure.
- Very little is known or documented about possible impacts of the issues around this topic. Studies of enterprise implementations of cybersecurity programs or software in conjunction with AR will increase awareness of issues and reduce risks.","This project will require laboratory or bench studies with cybersecurity threats into commercial wearable AR displays will highlight vulnerabilities. Tests of commercial or experimental software to manage sensitive data can be conducted in simulated environments. Further, after the tests in simulation, there should be research on the use of the threat mitigation systems in live environments.",Medium,"This topic or theme of research can be combined with assessments of geofencing, biomarkers for user authentication and other methods to reduce risks to enterprise data.","In 2017, this topic was the focus of the first AREA-directed research project. The AREA published the first report on the topic of security for wearable AR displays to members in June 2017 and released the report and assessment protocol to the ecosystem in mid-2019.",Christine Perey,2021-08-31
37,Impact of AR Delivery in Human-Supported Operational Risk Mitigation,"Whilst automation continues to bring efficiency to operational processes and practices and IoT data capabilities increase exponentially, a crucial element around human intervention remains unaddressed. Specifically, as incoming data indicates that an operational process is trending upward or downward and is approaching deviation from set thresholds, are the humans in proximity to this equipment aware and can they proactively take decisions around appropriate actions, consulting additional support human support and/or schematics, flow charts, or other assets, where necessary? In 2018, McKinsey published an informative report on skill shifts, automation, and the future of the workforce, indicating that, while hours spent performing physical, manual, and basic cognitive skills would decrease by 14-15% between the years 2016 and 2030, higher cognitive skills, social and emotional skills, and technological skills would increase by 8, 24, and 55% respectively. This indicates a sharp departure from manual physical intervention and a transition to interaction between environmental data, people, and equipment in nuanced ways that involve rational analysis and resulting action. +

Increasingly, industries are collecting mass amounts of operational data and parameters via IoT dashboards, though there is little guidance that enables the operator of the future to interpret this data and take appropriate action proactively. Deloitte's 2020 Global Human Capital Trends report indicated that high performance organizations are “evolving from a focus on automating work to replace workers, to augmenting workers with technology to create superjobs, to collaborating with technology to form superteams”. AR is specifically and ideally positioned to play a large role in this transition process for organizations across the globe.

This study would aim to specifically measure the tangible operational processes proactively improved by human intervention to a process prompted by a connected AR headset, providing data insights, as well as prompting appropriate proactive human behavior to maintain operational parameters/limits. +

","Automation, resklling, skill development, augmentation, superjobs, superteams, operational excellence, IoT, process improvement, augmented reality, augmented reality, failure, indicators, just in time, mixed realities, optimization","Business, End User and User Experience, Use Cases, Displays","Operational excellence professionals, chief operating officers, board of directors, safety and risk professionals","- Automation introduces new workforce compositions and behaviors. In order to adapt, organizations will need to deploy AR for humans in the workforce that encourages higher-level cognitive processes and decision making, in partnership with automated technology and data at the worksite.
- As data analysis and technological literacy varies greatly among operational workforces globally, some degree of intervention and support will be necessary to ensure that productivity and safety targets are achieved in a new age of work.
- AR is uniquely positioned to deliver guidance and to develop workforce skills in the ""flow of work"", as it does not require hand-held or mounted displays that compromise safety and efficiency by directing human hands and eyes away from the production cycle itself.+","The proposed research would need to identify operational processes for which operational parameters/thresholds have been defined and IoT data is available. Research would include current % of time operational process performs outside of appropriate limits/thresholds and introduction of AR data presentation, analysis, and intervention via A/B trial scenarios, potentially with a few different levels of AR intervention. Observe post-intervention data. Post-study operational process optimization time could be calculated and recommendations developed for future implementation.",Near,"This study could be combined with existing research programs associated with metals and mining, oil and gas, aerospace, manufacturing, and operational excellence in general.","There are valuable references related to automation and necessary upskilling contained in https://www.mckinsey.com/featured-insights/future-of-work/skill-shift-automation-and-the-future-of-the-workforce[this report published by McKinsey.] https://www2.deloitte.com/us/en/insights/focus/technology-and-the-future-of-work/reskilling-the-workforce.html[This report published by Deloitte] focuses on guidance and learning ""in the flow of work.""",Jennifer Rogers,2021-08-31
38,Opportunities for AR Cloud Technologies in Enterprise,"AR Cloud technologies are emerging as part of a broader, 3D “spatial computing” trend. Accurate three-dimensional and spatially-anchored models of the real world are being captured using AR devices and proposed for the design of AR-enabled services with high fidelity positioning of users and assets to automatically connect workers with data from enterprise management systems. Proponents of AR Cloud architectures suggest that using these distributed technologies will result in lower total cost of ownership, higher performance and more flexible AR-enabled solutions. With spatial computing, AR users will have higher engagement, seamless collaborative experiences while sharing 3D models, and options for separating static from dynamic parts of the physical world in AR authoring. By securely off-load computational complexity of AR processes to the edge of their networks, AR display devices will be lighter, have lower power requirements and, potentially lower costs.

This research project will focus on definition of requirements and development of prototypes of devices and network technologies that are not tied to any single vendor's device and network offerings. The results will permit enterprises to evaluate and quantify the benefits of distributed AR Cloud architectures without limiting options for multi-vendor networks. Edge computing technologies will also be essential components.

","edge computing, spatial computing, AR cloud, cloud computing, 3D mapping, computer vision, object tracking, localization, relocalization, edge computing, cloud computing, distributed computing, network architecture",Technology,"Network operators, network managers, enterprise IT managers, AR display designers, AR display manufacturers, AR experience authoring platforms, AR developers","- Before introducing new architectures in their networks, AREA member organizations must understand the potential benefits and ensure that they are not locked into one vendor's vertically-integrated technology silo.
- AREA members need to better understand the potential risks and opportunities of introducing AR Cloud in enterprise networks.
- In addition, AREA members seek research that will develop practical guidelines and permit them to keep up with and evaluate this trend over the coming months and years.","The research will focus on edge computing technologies from multiple suppliers that can support distributed AR architectures. Studies will compare the components of AR experience delivery that are suited to distributed computing. Laboratory-based studies in controlled environments will measure performance characteristics across different scenarios. There will also need to be study of network-based storage of world maps and the use of these 3d models for real-time object identification, device and object tracking, and localization of devices and objects. End user satisfaction studies can also be used for this research.",Medium,"This research topic could be part of a program studying the potential benefits of 5G networks which provide low-latency and high bandwidth connectivity. Other topics such as cloud-based rendering of 3D graphics, discovery of AR experiences and security could be combined with this topic.",The study and testing of AR cloud technologies in enterprise use cases and networks was proposed as an AREA-directed research project topic in January 2021.,Christine Perey,2021-08-31
39,Safe and Secure Multi-User Wearable AR Display Management Systems,"Wearable AR displays are expensive to purchase and, once they are tested and configured for AR experiences in the enterprise, they are highly valuable, limited resources. One of the issues AR managers encounter when seeking funding to purchase wearable AR displays is that no single user needs to have the display for all their tasks during a shift. In fact, until many more AR experiences are published and accepted, display devices are in use for only a fraction of a work day.

In principle, different workplace roles could use the same AR display during different parts of a process or a shift, thereby distributing the fixed cost of the hardware across multiple users and procedures, and ensuring that the system is not idle for significant time.

This research topic focuses on development of solutions to address two issues that currently prevent wearable AR displays from serving as multi-user resources. The first challenge is an environmental health and safety issue. Unless procedures for cleaning AR displays are tested and proven to the workforce to be effective and safe for them, employees are uncomfortable using a shared personal device. Sensitivity to this issue is even greater since the emergence of Covid-19.

The second issue that presents a barrier is the extension of mobile device management (MDM) to AR displays. There must be easy-to-use, reliable, effective and secure authentication of users who share wearable AR displays. User authentication, without typing in user names and passwords, is required in order that the user wearing the AR display at any time receive only those work orders and information that match the employee's current work order, level of training and roles on the job site.

The scope of this research straddles two fields that are not easily combined. The two topics could be studied separately.

","sanitation, clean equipment, access control, user authentication, authorization, biometric, safe display cleaning,, safety, sanitation, access control, data protection, security systems,  authentication, message authentication, authorization","Displays, End User and User Experience, Technology","Workplace safety managers and officers, IT security managers, employees working in facilities driven by work orders, AR managers, AR experience developers, AR interface designers who would develop prompts and procedures for easy login","- Enterprises cannot purchase sufficient AR display hardware to have every employee have their own, personal device for a full shift.
- AREA members will be looking for ways to distribute display hardware across multiple users.
- They will need systems to reduce risk of contamination and transmission of skin or respiratory conditions between users.
- AREA members must provide a way for users to reliably, easily and quickly log into their personal account. Very little is known or documented about possible impacts of the issues around these topics.","This project will require laboratory or bench studies with different sanitation systems, then microbiological studies to determine effectiveness of different procedures. For the authentication and log in systems, development of biometric identification systems would be valuable. These could be compared with commercial log-in interfaces to manage user identification. Further, after the tests in laboratories, there should be research on the use of these approaches with end users for acceptance.",Near,This topic is closely related to another proposed AREA Research Agenda topic on end user biometric authentication for security purposes [Tauthentication5-biometric]. The topics could be combined with other AR security topics to develop a full research program.,"In July 2021, https://cyberbytesfoundation.org/news/cyber-bytes-foundation-announces-grant-award/[NIST’s Public Safety Communications Research Division has awarded a $1M grant to CyberBytes Foundation (CBF) and XR Saftey Initiative (XRSI)] to study feasibility and develop natural AR device user authentication methods that do not require users to perform specific actions (typing passwords, swiping ID cards). XRSI Privacy & Safety Framework will be used as a tool to assess natural AR Authentication methods by first responders and others working in public safety organizations.",Christine Perey,2021-08-31
40,Barriers to Adoption of AR-assisted Inspection for Quality and Compliance,"Real world conditions must be compared with the agreed or defined compliance targets in many industries. In the future, any discrepancies detected through machine learning or artificial intelligence algorithms trained on compliant samples, could automatically show those discrepancies to the user in AR view.

Inspection use cases are not as widely implemented as step-by-step instruction delivery (task guidance) remote assistance and training. Companies with AR deployments in other use case categories could increase their ROI on AR investments if they were to expand their support for AR-assisted inspections. Providers of technologies need greater insights into inspection requirements and industries that perform inspections before work continues or, for compliance purposes, require inspections to be documented.

","inspection, quality, safety, compliance, policy, use cases, quality control, quality management, inspection, defects, fault detection, measurement, nondestructive examination, nondestructive testing, process monitoring, product quality, quality assurance, testing","Industries, Use Cases","Business and production managers in any industry where inspections are performed for review and confirmation of meeting any quality and/or safety policies, Safety managers, compliance managers, quality managers","- Research in this area will permit effectively transferring or adapting existing AR procedures and technologies from existing use cases to AR-assisted inspection.
- This would leverage existing infrastructure investments and knowledge about AR implementation (increase AR ROI) and reduce time and costs of existing inspection processes to increase compliance and ability to document compliance in the workplace","Interviews with business and production managers in any industry where inspections are performed for review and confirmation of meeting any quality and/or safety policies, safety managers, compliance managers, quality managers will need to be conducted and their KPIs documented.

In parallel, existing ML or AI techniques will need to be extended or new data sets for training created for use with AR technologies for capture and vision-based objective analysis of real world conditions. When real world conditions diverge from the compliance goal, any discrepancies will automatically be presented to the user in AR view. Following development of test methodologies, results will be validated by compliance specialists. End user acceptance and user experience will also be studied through feedback from users in interviews and surveys following use of the inspection use case in controlled environments.",Medium,This topic or theme of research overlap with the topic of using AR for automatically detecting workplace safety compliance. Automatic assessments of the workplace could also provide alerts when supplies are needed or maintenance scheduled. The same research topic could be combined with study of user interfaces and interaction paradigms for emergency response use cases.,This topic was submitted for 9th AREA research projects and received high support.,Christine Perey,2021-08-31
41,"Visualization of Routes, Risks and Transit Time in AR","Efficient navigation between locations is a challenge encountered in many use cases. Routing and guidance to a location is a killer app for smartphones. Using context to help users navigate to their destinations will also be valuable for AR users but more research is needed to integrate real time data in route calculation and further study on user interfaces will also benefit this use case.

Traffic information from smart phone users contributes to calculations of routes for drivers. At a finer grain, real time data from captured video (e.g., on users and their devices) and stationary or mobile sensors could further improve route planning. Route planning could be made more efficient in workplaces and to remote locations. Visualizing routes and transit times in a wearable AR display permits the user to use both hands and avoids the user needing to look away from the objects and possible obstacles in the vicinity.

For example, in factories or warehouses, workers need to avoid moving through zones where robots are operating, where materials they are transporting do not fit through openings or through any space that is secure and requires credentials for entry/exit. Often the professional is expected to travel to a place which is unfamiliar/to which they have never been. Studies that train, with machine learning, algorithms to detect and use real world conditions would be highly beneficial. A professional may avoid unsafe or impassible routes.

","geospatial AR, GPS, global positioning system, location, position, orientation, route, route optimization, navigation, planning, guidance, routing, computerised navigation, global positioning system, navigation, navigation systems","Use Cases, End User and User Experience","Many use cases include the need for a user to walk or drive between locations. When conditions are apt to change between locations or the exact destination is new each time, an automatic, real-time and AR-enabled navigation support technology can ensure the most efficient and safest routes are followed. Visualization in AR removes the need to look at another device for route information. When small incremental improvements in efficiency are compounded over thousands of users, following optimized routes can impact workforce productivity and lower risk.","- AREA customer segment organizations have large workforces with diverse needs for movement.
- Reducing transit times while also increasing safety are ways to improve operational efficiencies.
- AR providers could integrate navigation support into other use cases, permitting the user to receive value from the wearable AR device investment between other stationary/non-mobile activities and use cases.","Visualizing route, risk and transit time in AR requires use of geospatial positioning and orientation and will build upon existing navigation technologies and extending technologies already in use (e.g., smart phones) in a variety of environmental conditions (e.g., low and bright light). Indoor navigation technologies (without use of GPS) can build upon use of beacons and other types of landmarks that can be detected using an AR-enabled device. Extensive user testing with diverse user interfaces is required to develop options that meet the needs of different use cases.",Medium,"Visualization of routes, risks and transit time is a use case based on real time data and AI, and can be combined with studies of AR-enhanced use cases, such as situational awareness and simulation. It also can be combined with research into and contributions to the field of technology for error and risk detection.","This topic has been studied in many dimensions and in conjunction with other services. In 2015, https://www.researchgate.net/publication/272760699_Location-Based_Augmented_Reality_Information_for_Bus_Route_Planning_System[a study demonstrated that AR could help users of public transportation by putting destinations and other information on municipal buses].

In March 2021, Google https://www.theverge.com/2021/3/30/22357528/google-maps-directions-indoor-ar-live-view-fuel-efficient-weather-air-quality-layer[announced that it would provide live AR view of route and guidance] using Google Maps for pedestrians in airports, transit stations, and malls.",Christine Perey,2021-08-31
42,Informing AR Users About Hazards in Proximity,"In many industries, workplaces contain a plethora of hazards. When known or anticipated, hazard management protocols reduce the risks associated with a user's encountering a hazard when performing tasks or fulfilling a work order. However, there are also hazards which, even if made aware of them, the user is untrained to treat or has insufficient time to avoid or deescalate. Alerts can provide the user time to react. On the other hand, there may be hazards that do not require any specific user actions.

Through data collected by user location sensing technologies on devices, and potentially on users' PPE, as well as maps of known hazards, data generated from sensors on stationary or moving machines, and other methods, artificial intelligence algorithms could be used to continuously maintain and monitor a dynamic 3D map of hazards in a user's proximity. The user may be provided the hazard proximity map at intervals or request to visualize hazards in proximity. When the user reaches conditions with respect to the hazard that suggests appropriate actions are needed, an alert on an AR device can spatially anchor the source of risk or hazard in the user's perception (see Automated Alert to Dangerous Settings [[ra-Salert5-dangerosity]]). If and when needed, guidance for risk mitigation can be provided.

","Hazard detection, hazard management protocol, hazard warning, location-detection, 3D spatial mapping, artificial intelligence, user interface, user experience, risk assessment, risk management, situational awareness, occupational risks, risk assessment, risk perception, accidents, occupational health, occupational safety, safety, health and safety, health hazards, safety devices, safety factor, safety systems, fault detection, monitoring, system monitoring","Industries, Technology, Business","Safety managers, workplace designers, risk managers",- This research will provide AREA members insights into the workplace of industrial employees and could furnish protocols to include in AR systems when integrating with enterprise safety and risk management systems.,"This research can include studying appropriate definitions of proximity and risk in diverse industries and workplaces and/or using existing risk management tools, capturing data sets and training algorithms for types of hazards and testing reliability of AI in diverse conditions. The study of user interface and user experience for hazard notification systems will contribute to this field. Further, user studies will be required to measure cognitive load and user responsiveness to notifications of hazardous or potentially hazardous circumstances.",Near,"The scope of this research can span many industries and workplaces. It could be tailored to any industry in which AR is introduced and demonstrated with many workplace use cases. It is closely related to other proposed topic concerned with Automated Alert to Dangerous Settings, and a topic focusing on dangers due to chemical or radiation in employee vicinity. It could be combined with research on visualization of IoT data streams, 3D maps of known risk and other safety management programs. Further, it also can include or be an extension of numerous 3D user interface and user experience topics.","This peer-reviewed article published in December 2015 entitled https://www.sciencedirect.com/science/article/abs/pii/S092658051500196X[""Proximity hazard indicator for workers-on-foot near miss interactions with construction equipment and geo-referenced hazard areas""] pertains to the topic of this research.",Christine Perey,2021-08-31
43,Operational Risk Categorization/Matrices as an Indicator of AR Impact Potential,"While it is widely believed that the use of AR has vast potential in operational contexts, particularly those in which large amounts of risk are present, it is thus far difficult for senior stakeholders to narrow down operational processes and scenarios that stand to receive the largest benefit from the introduction of AR technology. Being able to clearly define and target specific opportunities for not only significant process improvement, but also tangible reductions in Lost Time Incident Rate (LTIR) and Total Recordable Incident Rate (TRIR), due to safe and effective operations.  It is quite standard in high-risk, high-compliance industries to operate under what is typically called a Risk Appetite Matrix, which considers risk type, projected impact, and projected likelihood to determine risk appetite and inform specific mitigation strategies. Because this determination is a human one and involves a series of factors, AR may even prove helpful around remote collaboration/guidance to operators as they make these decisions. Furthermore, the assignment of AR as PPE to particular workplace operations prone to higher risk should clearly demonstrate ROI that would warrant scalable and wide-spread adoption worldwide.

","Operational risk, operational risk management, Lost Time Incident Rate, LTIR, Total Recordable Incident Rate, TRIR, safety, compliance, hazard identification, occupational risks, risk assessment, risk perception, accidents, occupational health, occupational safety, safety, health and safety, health hazards, safety devices, safety factor, safety systems, fault detection, monitoring, system monitoring","Industries, Technology, Business","Business and production managers, operational excellence personnel, and HSE professionals in high-risk, high-compliance industries and/or industries where risk tolerance must be low (e.g. aviation and aerospace, healthcare, oil and gas, metals and mining, manufacturing, etc.). It may be helpful to consider individuals in a position to expose the organization to financial, safety, health, environmental, legal or regulatory, social, or reputational risk.","- As LTIR and TRIR are recorded and reported to OSHA each year (in US), it is essential to maintain these statistics so as to ensure a balanced scorecard.
- These metrics are carefully scrutinized at the C-Suite level and substantial budget is provided to help sustain/improve these metrics.
- Identification of operational contexts with the lowest risk appetite subsequently identifies specific opportunities for tangible outcomes that may be delivered via AR intervention.
- This, in turn, can result in tangible ROI and scalability that stimulates further investment in the use of AR, and potentially even AR as a PPE mandate, in some operational processes and contexts worldwide.","Utilize existing organizational and/or industry risk appetite matrix to identify operational processes for which intervention is most likely to impact organizational scorecard (medium to significant). If possible, target across multiple industries, focusing on one specific type of operational risk (financial, safety, health, environmental, legal or regulatory, social, or reputational). +
Decide upon an operational process/context for which pre-intervention metrics (LTIR, TRIR) data is available and introduce AR intervention via A/B trial scenario. Observe post-intervention data. +
Translate observable LTIR, TRIR decreases into Cost Benefit Analysis for AR implementation for different risk ratings of different types. +
Subsequent projects could adapt existing AI algorithms to scrape Standard Operating Procedures to identify recommended processes for AR supplementation. +",Near,"This study could link closely with existing research programs associated with remote operations support and decision-making, as well as any programs around business impact and measures. Additionally, it is a fantastic candidate for studies looking at the utilization of Artificial Intelligence/Machine Learning and AI.","References related to risk appetite matrices include:
https://www.good-governance.org.uk/services/risk-appetite-for-nhs-organisations-a-matrix-to-support-better-risk-sensitivity-in-decision-taking/ +
http://broadleaf.com.au/resource-material/risk-appetite-is-using-this-concept-worth-the-risk/ +
https://ppl.app.uq.edu.au/content/1.80.01-enterprise-risk-management +
https://www.ior-institute.org/wp-content/uploads/2018/11/20180905-Developing-and-Implementing-Effective-OpRisk-Appetite-Framework.pdf +
References related to HSE scorecard metrics include:
http://www.csb.gov/userfiles/file/mackenzie%20presentation.pdf +
https://bscdesigner.com/safety-kpis.htm +
https://www.levitt-safety.com/blog/trif-trir-and-dart-whats-the-difference-and-why-do-they-matter/#:~:text=TRIR%20stands%20for%20Total%20Recordable,effectiveness%20of%20safety%20programs%2C%20and +",Jennifer Rogers,2021-08-31
44,Minimum Useful Fidelity of Streamed Large-scale 3D Models over 5G,"Large scale 3D models and point clouds play an important role in many fields ranging from simulation to Product Lifecycle Management to digital twins deployed on a plethora of AR-capable devices. However, due to systems or resource limitations, these models are not always as close to the reality as they purport to be.

Using AR connected to 5G networks, it is possible to stream these models to a device to assist processes performed by human operators or technicians. Generally speaking, the simpler the model (i.e. the lower the fidelity), the less resource is required for streaming. However, if simplification goes too far, utility suffers, possibly preventing the operator from performing the intended task.

The research scope should include comparative studies measuring the exact impact of automatic model and point cloud simplification due to streaming, possibly expressed by the decrease in polygon count vs the time required and error rates achieved in a particular operations. Measurement methods would be developed to ensure accuracy within 5% margin of error.

","point cloud, large-scale 3D models, polygons, low-poly, high-poly, realistic, surfaces, finite element method, computer simulation, digital simulation, computational mechanics, computer aided engineering, discrete event simulation, virtualization","Technology, Business","Operations leaders, financial management, OEM manufacturers, Independent Software Vendors, Cloud Service Providers","- Large-scale models play an increasingly important role across various verticals of interest and importance to AREA members, requiring the justification of the investment at one or more levels.
- AREA members will benefit from having ways to manage this investment by cross-optimizing model fidelity and utility delivering model quality that is fit for the purpose but not better.",This research project will make a statistically significant number of comparisons between versions of different fidelity of the same large-scale 3D model and point clouds and will examine their impact on the performance aided by said models. Examining the relationship between model fidelity and human performance will inform the investment process for large-scale 3D models. New methods could be developed to compare usefulness at different levels of fidelity in various industries to clarify why some industries require different levels of fidelity to meet their objectives.,Medium,This research topic can be combined with other projects examining the tradeoffs between fidelity and function of large-scale 3D models.,Several AREA members are already working in this field and the 7th AREA research project performed a comparison of commercial solutions available for model decimation although did not study the streaming aspect of this research topic. The MxD is interested in collaborating to use its mmWave 5G infrastructure in a factory setting to study this topic further.,Peter Orban,2021-08-31
45,Rapid QA of Forensics and Public Safety 3D Scanning Outputs,"Accurately capturing accident, crime or crash scenes, and other scenes relevant from a Public Safety standpoint is of utmost importance for law enforcement or other government agencies. This tedious and error-prone work has tremendously benefitted from the adoption of laser scanners made by OEMs like Faro, Leica and others.

Deploying laser scanners to capture crime scenes and other relevant real world situations generates a complex point clouds which requires extensive post processing before the final models are constructed – a process that takes place offsite after scanning. Therefore, potential errors of over or under scanning - which can significantly deteriorate the quality of the model – is difficult to detect on location. This is of particular concern when the use of scanning equipment is not frequent, e.g. a small town police department or large-scale disaster event.

By deploying AR glasses it is possible to track the location of the scanning device and combine it with its effective scanning range at every stage to create a visual representation of the scanning footprint. This could yield an effective “coverage map” visible via smart glasses that would help the operator spot under-scanned areas. This topic includes a detailed examination of scanning footprint detected via smart glasses, in comparison to the 3D scene captured by the actual point cloud.

","point cloud, laser scanning, disaster scene, crime scene, law enforcement, 3d models, point clouds, digital twin","Technology, Business","Public safety agencies such as police crime scene investigators, law enforcement, FEMA, OEM manufacturers. If techniques are widely published, Independent Software Vendors could integrate the capability as a new feature in their existing applications and support more devices.","- Laser scanning plays an important role in preserving the physical reality in a digital format, which in turn can inform critical legal decisions or strategic plans. However, any error in the scanning process could significantly deteriorate its utility or render it completely useless.
- It is important to ascertain the quality of a scan even before the point cloud itself gets processed offsite.

The AREA members need ways to validate, when creating point clouds, that investing in using spatial tracking (as a proxy for point cloud quality) delivers an appropriate result in eliminating scanning errors.
",This research project will make a statistically-significant number of comparisons between point clouds and their respective scanner location tracking information of the same site with the purpose of creating a regression model that accounts for measurement errors in the independent variables.,Medium,This research topic can be combined with other projects examining the tradeoffs between fidelity and function of large-scale 3D models.,There's an ISMAR 2019 paper about how to use AR device to track the viewpoint of the scanner to ensure that an object is fully scanned in 3D. This research topic could be an extension to the prior published research.,Peter Orban,2021-08-31
46,Multi-layered Approach to Public Asset Utilization in Smart Cities,"There is a wide range of assets in urban environments: public spaces, buildings, concentrations of demography, utilities, history, movement of people and objects and so on. These assets carry significant value for all those interacting with them but the nature and manifestation of the value depends on the context and the use case.

The nature of value associated with the same asset depends on the nature of the interaction: occupancy for a realtor, history for a tourist, compliance for the Code Enforcement employee and so on – all built around the same digital twin of the host city.

Following proper authorization, head mounted displays or handheld devices can unlock the value contained in an asset, guiding and enhancing the interactions of a user with a city and its inhabitants.

This research topic also includes architecting a multipurpose Digital Twin of a set of assets, associating them with various layers of value and examining modalities of consumption from a human factors perspective.

","public asset management, public services, scanning, smart cities, urbanization, intelligent buildings, urban growth, town and country planning, urban planning, digital twin, smart cities, street lighting","Technology, Business","Elected and professional urban leaders: Mayors, CIOs and CISOs of urban infrastructure, Independent Software Vendors, geospatial infrastructure providers, points of interest publishers","- According to the UN, 68% of the world population projected to live in urban areas by 2050. This will put an increased strain on most public assets to optimizing how to unlock their value will be critical for resident quality of life and visitor experiences.
- Best practices developed in urban design, information architecture and human factors will be extended by the results of this research.",This research will require scanning and associating data with urban assets and developing methodologies to test different use cases and scenarios. User satisfaction and productivity studies in field trials will contribute to development of best practices for specific industries.,Long,This topic is a good fit with most topics focused on Smart Cities and long-range outdoor positioning.,"The UN has published https://www.un.org/development/desa/en/news/population/2018-revision-of-world-urbanization-prospects.html#:~:text=News-,68%25%20of%20the%20world%20population%20projected%20to%20live%20in,areas%20by%202050%2C%20says%20UN&text=Today%2C%2055%25%20of%20the%20world's,increase%20to%2068%25%20by%202050[reports about urbanization and the challenges it raises for those managing urban data].",Peter Orban,2021-08-31
