Title,Author,Author affiliation,Source,Sponsor,Publisher,Volume and Issue,Pages,Issue date,Monograph title,Publication year,Language,ISSN,E-ISSN,ISBN13,DOI,Article number,Conference name,Conference date,Conference location,Abstract,Number of references,Main Heading,Controlled/Subject terms,Uncontrolled terms,Classification code,IPC code,Treatment,Funding details,Funding text,Access type,Database,Copyright,Data Provider,,,
Multi-party mixed reality interaction for earth sciences education,"Chiou, Yan-Ming (1) ","(1) Computer and Information Sciences, University of Delaware, Newark; DE, United States ","TEI 2019 - Proceedings of the 13th International Conference on Tangible, Embedded, and Embodied Interaction",ACM SIGCHI,"Association for Computing Machinery, Inc",,p 719-722,17-Mar-19,"TEI 2019 - Proceedings of the 13th International Conference on Tangible, Embedded, and Embodied Interaction",2019,,,,9.78145E+12,10.1145/3294109.3302933,,"13th International Conference on Tangible, Embedded, and Embodied Interaction, TEI 2019","March 17, 2019 - March 20, 2019",,"Collaborative learning has been shown to be beneficial for children's learning performance, increasing the curiosity and intensity of the ability of cooperation. Mixed-Reality with collaborative learning is the trending research topic in the Human-Computer Interaction (HCI) area. Additionally, with the rise of attention to global warming which brings in more extreme weather and climate conditions, the earth science education would be one of the crucial topics for the next generation. Moreover, there are few augmented reality and mixed reality applications on earth science subject. In this paper, we propose a Mixed Reality Tornado Simulator which offers an earth science education in a collaborative setting. Students and the instructor can cooperate on learning the knowledge of the formation and its damage cause on human-built structures, farming, and vegetation by using our mixed reality application with the Microsoft HoloLens. Also, for evaluating the learning performance in this mixed reality setting, we propose to study the cognitive load while the student is learning the abstract knowledge in Earth Science. We will separate the student into a control group and experimental groups and use different teaching instruments to test the difference of cognitive load. © 2019 ACM.",14,Mixed reality,Augmented reality - Earth (planet) - Global warming - Human computer interaction - Structures (built objects) - Students,Climate condition - Collaborative learning - Collaborative settings - Experimental groups - Human computer interaction (HCI) - Learning performance - MicroSoft - Science education,"443.1 Atmospheric Properties - 723 Computer Software, Data Handling and Applications",,,,,,Compendex,"Compilation and indexing terms, Copyright 2020 Elsevier Inc.",Engineering Village,,,
Fire in your hands: Understanding thermal behavior of smartphones,"Kang, Soowon (1); Choi, Hyeonwoo (2); Park, Sooyoung (1); Park, Chunjong (3); Lee, Jemin (4); Lee, Uichin (1); Lee, Sung-Ju (1) ","(1) KAIST, Korea, Republic of (2) Samsung Electronics, Korea, Republic of (3) University of Washington, United States (4) ETRI, Korea, Republic of ","Proceedings of the Annual International Conference on Mobile Computing and Networking, MOBICOM",ACM SIGMobile,Association for Computing Machinery,,,7-Aug-19,MobiCom 2019 - Proceedings of the 25th Annual International Conference on Mobile Computing and Networking,2019,,,,9.78145E+12,10.1145/3300061.3300128,,"25th Annual International Conference on Mobile Computing and Networking, MobiCom 2019","October 21, 2019 - October 25, 2019",,"Overheating smartphones could hamper user experiences. While there have been numerous reports on smartphone overheating, a systematic measurement and user experience study on the thermal aspect of smartphones is missing. Using thermal imaging cameras, we measure and analyze the temperatures of various smartphones running diverse application workloads such as voice calling, video recording, video chatting, and 3D online gaming. Our experiments show that running popular applications such as video chat, could raise the smartphone's surface temperature to over 50C in only 10 minutes, which could easily cause thermal pain to users. Recent ubiquitous scenarios such as augmented reality and mobile deep learning also have considerable thermal issues. We then perform a user study to examine when the users perceive heat discomfort from the smartphones and how they react to overheating. Most of our user study participants reported considerable thermal discomfort while playing a mobile game, and that overheating disrupted interaction flows. With this in mind, we devise a smartphone surface temperature prediction model, by using only system statistics and internal sensor values. Our evaluation showed high prediction accuracy with root-mean-square errors of less than 2C. We discuss several insights from our findings and recommendations for user experience, OS design, and developer support for better user-thermal interactions. © 2019 Copyright held by the owner/author(s). Publication rights licensed to ACM.",65,Smartphones,Atmospheric temperature - Augmented reality - Deep learning - Infrared imaging - Mean square error - Mobile computing - Surface properties - Temperature indicating cameras - Three dimensional computer graphics - Video recording,Diverse applications - Root mean square errors - Surface temperature prediction - Surface temperatures - Thermal characteristics - Thermal imaging cameras - Thermal model - User guidance,"443.1 Atmospheric Properties - 716.4 Television Systems and Equipment - 718.1 Telephone Systems and Equipment - 723 Computer Software, Data Handling and Applications - 742.2 Photographic Equipment - 746 Imaging Techniques - 922.2 Mathematical Statistics - 951 Materials Science",,,"Number: 2016R1A2B4014068, Acronym: MSIP, Sponsor: Ministry of Science, ICT and Future Planning; Number: NRF-2017M3C4A7065960, Acronym: -, Sponsor: -; Number: -, Acronym: NRF, Sponsor: National Research Foundation of Korea; ",This work was supported by the National Research Foundation of Korea (NRF) grant funded by the Korea government (MSIP) (No.2016R1A2B4014068) and the Next-Generation Information Computing Development Program through the National Research Foundation of Korea (NRF) funded by the Ministry of Science and ICT (NRF-2017M3C4A7065960).,,Compendex,"Compilation and indexing terms, Copyright 2020 Elsevier Inc.",Engineering Village,,,
"Virtual, augmented, and mixed reality for human-robot interaction (VAM-HRI)","Williams, Tom (1); Szafir, Daniel (2); Chakraborti, Tathagata (3); Soh Khim, Ong (4); Rosen, Eric (5); Booth, Serena (6); Groechel, Thomas (7) ","(1) Colorado School of Mines, Golden; CO, United States (2) University of Colorado Boulder, Boulder; CO, United States (3) IBM Research AI, Cambridge; MA, United States (4) National University of Singapore, Singapore, Singapore (5) Brown University, Providence; RI, United States (6) Massachusetts Institute of Technology, Cambridge; MA, United States (7) University of Southern California, Los Angeles; CA, United States ",ACM/IEEE International Conference on Human-Robot Interaction,ARM; Cambridge Consultants; et al.; FN Robotics; Furhat Robotics; Halodi,IEEE Computer Society,,p 663-664,23-Mar-20,HRI 2020 - Companion of the 2020 ACM/IEEE International Conference on Human-Robot Interaction,2020,,,21672148,9.78145E+12,10.1145/3371382.3374850,,"15th Annual ACM/IEEE International Conference on Human Robot Interaction, HRI 2020","March 23, 2020 - March 26, 2020",,"The 3rd International Workshop on Virtual, Augmented, and Mixed Reality for Human-Robot Interactions (VAM-HRI) will bring together HRI, Robotics, and Mixed Reality researchers to address challenges in mixed reality interactions between humans and robots. Topics relevant to the workshop include development of robots that can interact with humans in mixed reality, use of virtual reality for developing interactive robots, the design of augmented reality interfaces that mediate communication between humans and robots, comparisons of the capabilities and perceptions of robots and virtual agents, and best design practices. VAM-HRI 2020 will follow on the success of VAM-HRI 2018 and 2019, and advance the cause of this nascent research community. © 2020 ACM.",24,Human robot interaction,Agricultural robots - Augmented reality - Machine design - Man machine systems - Mixed reality - Virtual addresses,Design practice - Interactive robot - International workshops - Reality interface - Research communities - Virtual agent,"601 Mechanical Design - 722.1 Data Storage, Equipment and Techniques - 723 Computer Software, Data Handling and Applications - 731.5 Robotics",,,,,,Compendex,"Compilation and indexing terms, Copyright 2020 Elsevier Inc.",Engineering Village,,,
Designing an informal learning curriculum to develop 3D modeling knowledge and improve spatial thinking skills,"Bhaduri, Srinjita (1); Sumner, Tamara (1); Van Horne, Katie (2) ","(1) Institute of Cognitive Science, Department of Computer Science, University of Colorado Boulder, Boulder; CO, United States (2) Institute of Cognitive Science, School of Education, University of Colorado Boulder, Boulder; CO, United States ",Conference on Human Factors in Computing Systems - Proceedings,ACM SIGCHI,Association for Computing Machinery,,,2-May-19,CHI EA 2019 - Extended Abstracts of the 2019 CHI Conference on Human Factors in Computing Systems,2019,,,,9.78145E+12,10.1145/3290607.3299039,3299039,"2019 CHI Conference on Human Factors in Computing Systems, CHI EA 2019","May 4, 2019 - May 9, 2019",,"We report on the design and implementation of a 3-week long summer academy introducing high school students to 3D modeling and 3D printing experiences. Supporting youth in developing 3D modeling knowledge can enhance their capacity to effectively use an array of emerging technologies such as Virtual Reality, Augmented Reality, and digital fabrication. We used tools and practices from both formal and informal education, such as storylining, to inform the design of the curriculum. We collected data through surveys, artifacts, observations, screen recordings, and group videos. Our findings suggest that (1) emphasizing curricular coherence as a design goal and (2) providing youth with multiple avenues for engaging in 3D modeling can help to: spark youth interest in 3D printing/modeling, maintain youth engagement in learning activities over the course of several weeks, and provide youth with opportunities to develop their spatial thinking skills. © 2019 Copyright held by the owner/author(s). ACM",11,3D modeling,3D printers - Augmented reality - Curricula - Human engineering - Learning systems - Virtual reality,3-D printing - Informal learning - Spatial thinking - Storylines - Youth,"461.4 Ergonomics and Human Factors Engineering - 723 Computer Software, Data Handling and Applications - 745.1.1 Printing Equipment - 901.2 Education",,,,,,Compendex,"Compilation and indexing terms, Copyright 2020 Elsevier Inc.",Engineering Village,,,
There's more than meets the eye: Enhancing robot control through augmented visual cues,"Arévalo Arboleda, Stephanie (1); DIerks, Tim (1); Rücker, Franziska (1); Gerken, Jens (1) ","(1) Westphalian University of Applied Sciences, Gelsenkirchen, Germany ",ACM/IEEE International Conference on Human-Robot Interaction,ARM; Cambridge Consultants; et al.; FN Robotics; Furhat Robotics; Halodi,IEEE Computer Society,,p 104-106,23-Mar-20,HRI 2020 - Companion of the 2020 ACM/IEEE International Conference on Human-Robot Interaction,2020,,,21672148,9.78145E+12,10.1145/3371382.3378240,,"15th Annual ACM/IEEE International Conference on Human Robot Interaction, HRI 2020","March 23, 2020 - March 26, 2020",,"In this paper, we present the design of a visual feedback mechanism using Augmented Reality, which we call augmented visual cues, to assist pick-and-place tasks during robot control. We propose to augment the robot operator's visual space in order to avoid attention splitting and increase situational awareness (SA). In particular, we aim to improve on the SA concepts of perception, comprehension, and projection as well as the overall task performance. For that, we built upon the interaction design paradigm proposed by Walker et al.. On the one hand, our design augments the robot to support picking-tasks; and, on the other hand, we augment the environment to support placing-tasks. We evaluated our design in a first user study, and results point to specific design aspects that need improvement while showing promise for the overall approach, in particular regarding user satisfaction and certain SA concepts. © 2020 ACM.",14,Human robot interaction,Agricultural robots - Augmented reality - Machine design - Man machine systems - Visual communication - Visual servoing,Interaction design - Pick and place - Robot controls - Robot operators - Situational awareness - Task performance - User satisfaction - Visual feedback,"601 Mechanical Design - 717.1 Optical Communication Systems - 723 Computer Software, Data Handling and Applications - 731.5 Robotics",,,"Number: -, Acronym: BMBF, Sponsor: Bundesministerium f&Atilde;&frac14;r Bildung und Forschung; ",This research is supported by the German Federal Ministry of Education and Research (BMBF).,,Compendex,"Compilation and indexing terms, Copyright 2020 Elsevier Inc.",Engineering Village,,,
"Edge cloud offloading algorithms: Issues, methods, and perspectives","Wang, Jianyu (1); Pan, Jianli (1); Esposito, Flavio (2); Calyam, Prasad (3); Yang, Zhicheng (4); Mohapatra, Prasant (4) ","(1) 326 Express Scripts Hall, One University Blvd., St.Louis; MO; 63121, United States (2) Ritter Hall 217, 220 North Grand Blvd., St. Louis; MO; 63103, United States (3) 221 Naka Hall, Columbia; MO; 65211, United States (4) 2063 Kemper Hall, Davis; CA; 95616, United States ",ACM Computing Surveys,,Association for Computing Machinery,"v 52, n 1",,Feb-19,,2019,,3600300,15577341,,10.1145/3284387,2,,,,"Mobile devices supporting the 'Internet of Things' often have limited capabilities in computation, battery energy, and storage space, especially to support resource-intensive applications involving virtual reality, augmented reality, multimedia delivery, and artificial intelligence, which could require broad bandwidth, low response latency, and large computational power. Edge cloud or edge computing is an emerging topic and a technology that can tackle the deficiencies of the currently centralized-only cloud computing model and move the computation and storage resources closer to the devices in support of the above-mentioned applications. To make this happen, efficient coordination mechanisms and 'offloading' algorithms are needed to allow mobile devices and the edge cloud to work together smoothly. In this survey article, we investigate the key issues, methods, and various state-of-the-art efforts related to the offloading problem. We adopt a new characterizing model to study the whole process of offloading from mobile devices to the edge cloud. Through comprehensive discussions, we aim to draw an overall 'big picture' on the existing efforts and research directions. Our study also indicates that the offloading algorithms in the edge cloud have demonstrated profound potentials for future technology and application development. © 2019 Association for Computing Machinery.",53,Multimedia systems,Augmented reality - Edge computing - Internet of things - Mathematical models - Virtual reality,Application development - Broad bandwidths - Computational power - Coordination mechanisms - Future technologies - Multimedia delivery - State of the art - Storage resources,"723 Computer Software, Data Handling and Applications - 723.5 Computer Applications",,,"Number: CNS-1647084, Acronym: NSF, Sponsor: National Science Foundation; ","This work has been partially supported by a University of Missouri Research Board (UMRB) award and the National Science Foundation award CNS-1647084. Authors&rsquo; addresses: J. Wang and J. Pan, 326 Express Scripts Hall, One University Blvd., St.Louis, MO 63121; emails: {jwgxc, pan}@umsl.edu; F. Esposito, Ritter Hall 217, 220 North Grand Blvd., St. Louis, MO 63103; email: espositof@slu.edu; P. Calyam, 221 Naka Hall, Columbia, MO 65211; email: calyamp@missouri.edu; Z. Yang and P. Mohapatra, 2063 Kemper Hall, Davis, CA 95616; emails: {zcyang, pmohapatra}@ucdavis.edu. Permission to make digital or hard copies of all or part of this work for personal or classroom use is granted without fee provided that copies are not made or distributed for profit or commercial advantage and that copies bear this notice and the full citation on the first page. Copyrights for components of this work owned by others than ACM must be honored. Abstracting with credit is permitted. To copy otherwise, or republish, to post on servers or to redistribute to lists, requires prior specific permission and/or a fee. Request permissions from permissions@acm.org. &copy; 2019 Association for Computing Machinery. 0360-0300/2019/02-ART2 $15.00 https://doi.org/10.1145/3284387",,Compendex,"Compilation and indexing terms, Copyright 2020 Elsevier Inc.",Engineering Village,,,
Indoor localization improved by spatial context - A survey,"Gu, Fuqiang (1); Hu, Xuke (2); Ramezani, Milad (1); Acharya, Debaditya (1); Khoshelham, Kourosh (1); Valaee, Shahrokh (3); Shang, Jianga (4) ","(1) University of Melbourne, Parkville, Melbourne; VIC; 3010, Australia (2) Heidelberg University, Grabengasse 1, Heidelberg; 69117, Germany (3) University of Toronto, 10 King's College Rd, Toronto; ON, Canada (4) China University of Geosciences, 388 Lumo Rd, Wuhan, Hubei, China ",ACM Computing Surveys,,Association for Computing Machinery,"v 52, n 3",,Jul-19,,2019,,3600300,15577341,,10.1145/3322241,64,,,,"Indoor localization is essential for healthcare, security, augmented reality gaming, and many other locationbased services. There is currently a wealth of relevant literature on indoor localization. This article focuses on recent advances in indoor localization methods that use spatial context to improve the location estimation. Spatial context in the form of maps and spatial models have been used to improve the localization by constraining location estimates in the navigable parts of indoor environments. Landmarks such as doors and corners, which are also one form of spatial context, have proved useful in assisting indoor localization by correcting the localization error. This survey gives a comprehensive review of state-of-the-art indoor localization methods and localization improvement methods using maps, spatial models, and landmarks. © 2019 Association for Computing Machinery.",198,Indoor positioning systems,Augmented reality - Location - mHealth - Smartphones - Surveys,Hybrid localization - Indoor positioning - Landmark detection - Sensory landmarks - Spatial informations - Wireless localization,"718.1 Telephone Systems and Equipment - 723 Computer Software, Data Handling and Applications",,,"Number: 2016YFB0502200, Acronym: -, Sponsor: National Basic Research Program of China (973 Program); ","This work is jointly supported by the National Key Research and Development Program of China (Grant No. 2016YFB0502200) and the China Scholarship Council-University of Melbourne Research Scholarship (Grant No. CSC 201408420117). Authors&rsquo; addresses: F. Gu, University of Melbourne, Parkville, Melbourne, VIC, 3010, Australia; email: fuqiangg@student.unimelb.edu.au; X. Hu (corresponding author), Grabengasse 1, Heidelberg University, Heidelberg, 69117, Germany; email: xuke.hu@uni-heidelberg.de; M. Ramezani, D. Acharya, and K. Khoshelham, University of Melbourne, Parkville, Melbourne, VIC, 3010, Australia; emails: {mramezani, acharyad}@student.unimelb.edu.au, k.khoshelham@unimelb.edu.au; S. Valaee, University of Toronto, 10 King&rsquo;s College Rd, Toronto, ON, Canada; email: valaee@ece.utoronto.ca; J. Shang, 388 Lumo Rd, China University of Geosciences, Wuhan, Hubei, China; email: jgshang@cug.edu.cn. Permission to make digital or hard copies of all or part of this work for personal or classroom use is granted without fee provided that copies are not made or distributed for profit or commercial advantage and that copies bear this notice and the full citation on the first page. Copyrights for components of this work owned by others than ACM must be honored. Abstracting with credit is permitted. To copy otherwise, or republish, to post on servers or to redistribute to lists, requires prior specific permission and/or a fee. Request permissions from permissions@acm.org. &copy; 2019 Association for Computing Machinery. 0360-0300/2019/07-ART64 $15.00 https://doi.org/10.1145/3322241",Open Access,Compendex,"Compilation and indexing terms, Copyright 2020 Elsevier Inc.",Engineering Village,,,
Local light field fusion: Practical view synthesis with prescriptive sampling guidelines,"Mildenhall, Ben (1); Srinivasan, Pratul P. (1); Ortiz-Cayon, Rodrigo (2); Kalantari, Nima Khademi (3); Ramamoorthi, Ravi (4); Ng, Ren (1); Kar, Abhishek (2) ","(1) University of California, Berkeley, United States (2) Fyusion Inc., United States (3) Texas A and M University, United States (4) University of California, San Diego, United States ",ACM Transactions on Graphics,,Association for Computing Machinery,"v 38, n 4",,Jul-19,,2019,,7300301,15577368,,10.1145/3306346.3322980,29,,,,"We present a practical and robust deep learning solution for capturing and rendering novel views of complex real world scenes for virtual exploration. Previous approaches either require intractably dense view sampling or provide little to no guidance for how users should sample views of a scene to reliably render high-quality novel views. Instead, we propose an algorithm for view synthesis from an irregular grid of sampled views that first expands each sampled view into a local light field via a multiplane image (MPI) scene representation, then renders novel views by blending adjacent local light fields. We extend traditional plenoptic sampling theory to derive a bound that specifies precisely how densely users should sample views of a given scene when using our algorithm. In practice, we apply this bound to capture and render views of real world scenes that achieve the perceptual quality of Nyquist rate view sampling while using up to 4000× fewer views. We demonstrate our approach's practicality with an augmented reality smartphone app that guides users to capture input images of a scene and viewers that enable realtime virtual exploration on desktop and mobile platforms. © 2019 held by the owner/author(s).",51,Rendering (computer graphics),Augmented reality - Deep learning - Image processing,Image based rendering - Irregular grids - Light fields - Perceptual quality - Plenoptic samplings - Scene representation - View synthesis - Virtual exploration,"723 Computer Software, Data Handling and Applications",,,,,,Compendex,"Compilation and indexing terms, Copyright 2020 Elsevier Inc.",Engineering Village,,,
User Interface model-based for basic-skills training in medical applications,"Vergara, Tania (1); Bautista, Luis (1); Pedraza, Gabriel (1) ","(1) Universidad Industrial de Santander -UIS, Bucaramanga, Colombia ",ACM International Conference Proceeding Series,ACM SIGCHI; ACM SIGCHI Latin American HCI Community,Association for Computing Machinery,,,30-Sep-19,CLIHC 2019 - Proceedings of the 9th Latin American Conference on Human Computer Interaction,2019,,,,9.78145E+12,10.1145/3358961.3358986,a25,"9th Latin American Conference on Human Computer Interaction, CLIHC 2019","September 30, 2019 - October 4, 2019",,"Creating scenarios for training motor skills such as hand-eye coordination using augmented reality (AR) technology has several challenges. One of them, the application of task variability, a principle to foster flexibility and to unanticipated tasks adaptation. Due to its benefits, a model-based approach was applied to implement it in the training scenario development. In this paper, concretization rules were proposed and evaluated, from a task model that describes the practical exercise. The results show the concretization effectiveness. A case study is made for the design of hand-eye coordination exercises, a skill required for surgical procedures such as the transpedicular screws placement in spine surgery. © 2019 Copyright is held by the owner/author(s).",12,User interfaces,Augmented reality - Human computer interaction - Medical applications - Personnel training - Transplantation (surgical),Hand eye coordination - MBUID - Medical skills - Model based approach - Skills training - Surgical procedures - Training scenario - User interface models,"462.4 Prosthetics - 722.2 Computer Peripheral Equipment - 723 Computer Software, Data Handling and Applications - 912.4 Personnel",,,,,,Compendex,"Compilation and indexing terms, Copyright 2020 Elsevier Inc.",Engineering Village,,,
Improving maintenance efficiency with an adaptive AR-assisted maintenance system,"Siew, C.Y. (1); Nee, A.Y.C. (2); Ong, S.K. (2) ","(1) NUS Graduate School for Integrative Sciences and Engineering, National University of Singapore, 28 Medical Drive, Singapore; 117456, Singapore (2) Mechanical Engineering Department, National University of Singapore, 9 Engineering Drive 1, Singapore; 117576, Singapore ",ACM International Conference Proceeding Series,China University of Geosciences; Guangdong University of Technology; University of Electronic Science and Technology of China; Xihua University,Association for Computing Machinery,,p 74-78,26-Jul-19,"Proceedings of the 2019 4th International Conference on Robotics, Control and Automation, ICRCA 2019 - Workshop 2019 the 4th International Conference on Robotics and Machine Vision, ICRMV 2019",2019,,,,9.78145E+12,10.1145/3351180.3351203,,"2019 4th International Conference on Robotics, Control and Automation, ICRCA 2019 and its Workshop of 2019 4th International Conference on Robotics and Machine Vision, ICRMV 2019","July 26, 2019 - July 28, 2019",,"The lack of adaptability of existing Augmented Reality (AR) assisted maintenance systems has prevented the implementation of many existing AR systems in real industrial maintenance scenarios. This paper presents an adaptive Augmented Reality human-machine interface (AR-HMI) framework that can provide suitable sets of maintenance information and guidance to an operator during maintenance to enhance efficiency and safety. A human-centric framework has been developed to determine the most suitable types of information to be augmented and presented to the user. During maintenance, the AR-assisted system allows a user to request for a change in the types of augmentation via an explicit request or an implicit mechanism, which is based on the head-gaze of the user. To demonstrate the viability of the AR-HMI framework and AR-assisted system, a case study based on an industrial robot has been conducted. © 2019 Association for Computing Machinery.",13,Computer vision,Augmented reality - Efficiency - Human computer interaction - Maintenance - Robotics,Adaptive augmented realities - AR system - Human Machine Interface - Human-centric - Industrial maintenance - Maintenance efficiency - Maintenance information - Maintenance systems,"723 Computer Software, Data Handling and Applications - 723.5 Computer Applications - 731.5 Robotics - 913.1 Production Engineering - 913.5 Maintenance",,,,"This research is supported by the Singapore A*STAR Agency for Science, Technology and Research Public Sector Research Funding Programme, Project No. 1521200081.",,Compendex,"Compilation and indexing terms, Copyright 2020 Elsevier Inc.",Engineering Village,,,
Using visual intelligence to automate maintenance task guidance and monitoring on a head-mounted display,"Ng, Lai Xing (1); Ng, Jamie (1); Tang, Keith T.W. (1); Li, Liyuan (1); Rice, Mark (1); Wan, Marcus (1) ","(1) Institute for Infocomm Research, A*STAR, 1 Fusionopolis Way, 138632, Singapore ",ACM International Conference Proceeding Series,,Association for Computing Machinery,,p 70-75,22-Nov-19,ICRAI 2019 - 2019 5th International Conference on Robotics and Artificial Intelligence,2019,,,,9.78145E+12,10.1145/3373724.3373727,,"5th International Conference on Robotics and Artificial Intelligence, ICRAI 2019","November 22, 2019 - November 24, 2019",,"Maintenance is a required process in many commercial domains. Commonly, paper-based instruction manuals are digitised to improve accessibility to maintenance information. Among the different forms of digital media, augmented reality (AR) combined with machine learning has the potential to provide real-time user guidance and interaction. In this paper, we present an Augmented Reality Visual Intelligence (ARVI) framework, which combines visual perception with cognitive task reasoning to monitor user performance and provide contextualised guidance for maintenance tasks. The framework is implemented in Microsoft Hololens for a wheel removal operation. The implemented software can recognise aspects of the environment, objects and a user's hands, as well as infer the task being completed. The evaluation of visual perception models for object detection using a single task video for training obtained relatively high F1 scores, and a small-scale usability study reported some positive feedback on the application development. © 2019 Association for Computing Machinery.",23,Helmet mounted displays,Augmented reality - Digital storage - Maintenance - Object detection - Robotics - Street traffic control - Vision,Application development - Automated tasks - Head mounted displays - Instruction manuals - Maintenance information - Task monitoring - Visual intelligence - Visual perception models,"406.2 Roads and Streets - 722.1 Data Storage, Equipment and Techniques - 723 Computer Software, Data Handling and Applications - 723.2 Data Processing and Image Processing - 731.5 Robotics - 913.5 Maintenance",,,"Number: 162150016, Acronym: -, Sponsor: -; Number: -, Acronym: I&Acirc;&sup2;R, Sponsor: Institute for Infocomm Research; ","We would like to thank Joy Wang, DSTA, the A*STAR Aerospace Programme, and ST Aerospace for their support in this research project. This research is supported by the Agency for Science Technology and Research (A*STAR) Aerospace Programme Grant No. 162150016 and the Institute for Infocomm Research.",,Compendex,"Compilation and indexing terms, Copyright 2020 Elsevier Inc.",Engineering Village,,,
Augmented object selection through smart glasses,"Franco, Jéssica (1); Cabral, Diogo (2) ","(1) ITI, LARSyS, University of Madeira, Funchal, Portugal (2) ITI, LARSyS, IST, University of Lisbon, Lisboa, Portugal ",ACM International Conference Proceeding Series,,Association for Computing Machinery,,,26-Nov-19,"MUM 2019 - 18th International Conference on Mobile and Ubiquitous Multimedia, Proceedings",2019,,,,9.78145E+12,10.1145/3365610.3368416,3368416,"18th International Conference on Mobile and Ubiquitous Multimedia, MUM 2019",26-Nov-19,,"Several interaction methods for smart glasses have been studied, but it is not clear which method could be the best to interact with augmented objects. In this study, an Augmented Reality (AR) marker-based application for smart glasses was developed, implementing three different interaction methods for marker selection: one using mid-air hand gestures, other using head movements and double-tap in the glasses, and the last one using a handheld controller. We studied the users’ interaction times, preferences, and their willingness to perform the interaction method in public. We find that users’ felt more comfortable using a familiar handheld controller. However, the solution with the smart glass’s tap function and head movement got results close to the results of smart glass’s controller. © 2019 Copyright is held by the owner/author(s).",17,Glass,Augmented reality - Controllers,Interaction methods - Marker-based - Smart glass - Touch inputs - Touchless,"723 Computer Software, Data Handling and Applications - 732.1 Control Equipment - 812.3 Glass",,,"Number: UID/EEA/50009/2019, Acronym: -, Sponsor: -; ",This work was partially funded by FCT/MCTES LARSyS (UID/EEA/50009/2013 (2015-2017)) and by FCT/MCTES LARSyS (UID/EEA/50009/2019).,,Compendex,"Compilation and indexing terms, Copyright 2020 Elsevier Inc.",Engineering Village,,,
A review of visual-based localization,"Xin, Xing (1); Jiang, Jie (1); Zou, Yin (1) ","(1) College of Systems Engineering, National University of Defense Technology, Changsha, China ",ACM International Conference Proceeding Series,,Association for Computing Machinery,,p 94-105,20-Sep-19,"Proceedings of the 2019 International Conference on Robotics, Intelligent Control and Artificial Intelligence, RICAI 2019",2019,,,,9.78145E+12,10.1145/3366194.3366211,,"2019 International Conference on Robotics, Intelligent Control and Artificial Intelligence, RICAI 2019","September 20, 2019 - September 22, 2019",,"The visual-based localization (VBL) obtains the corresponding pose estimation in the localization system by utilizing various useful information in the surrounding environment, such as images, point cloud models, geometric information, semantic information. In recent years, visual-based localization (VBL) has been widely concerned by scientists, mainly because the commonly used GPS localization system cannot be effectively used in various environments. When GPS localization fails in some scenes such as very messy environments and severe signal occlusion, we can consider using visual-based localization to obtain the pose of the query images. Visual-based localization (VBL) has been widely used in the field of visual tasks, such as augmented reality, unmanned vehicle navigation, robotics, closed-loop detection, SFM (Structure from Motion) models. After years of development, the methods of visual-based localization (VBL) have been enriched and developed, In order to better understand the latest developments in VBL, overall research status and possible future development trends, we need make a systematic detailed classification of VBL. Although the predecessors have summarized the methods of VBL, due to the many new breakthroughs in VBL in recent years, the original summary is not perfect enough. So this paper will make a new and more detailed review of VBL in recent years. This paper divides the visual-based localization methods into three categories: image-based localization, localization based on learning model and localization based on 3D structure. And we also detail the principle, development of methods and the advantages and disadvantages of each method and future development trends. © 2019 Association for Computing Machinery.",81,Learning systems,Augmented reality - Global positioning system - Object recognition - Robotics - Robots - Semantics - Vision,3D Structure - Closed-loop detections - Detailed classification - Geometric information - Image-based localizations - Learning models - Surrounding environment - Visual-based localization,"723 Computer Software, Data Handling and Applications - 731.5 Robotics",,,"Number: 61873274, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ","Thanks to the guidance of the instructor and the help of the schoolmate, and thanks to the National Natural Science Foundation of China under Project 61873274 for funding.",,Compendex,"Compilation and indexing terms, Copyright 2020 Elsevier Inc.",Engineering Village,,,
