LowLevel,MidLevel,HighLevel
cad/cam,graphics,technology
color,graphics,technology
color codes,graphics,technology
color matching,graphics,technology
computer aided design,graphics,technology
computer animation,graphics,technology
computer generated holography,graphics,technology
computer graphics,graphics,technology
computer graphics equipment,graphics,technology
computer-generated holography,graphics,technology
curve fitting,graphics,technology
deformation,graphics,technology
engineering graphics,graphics,technology
flickering,graphics,technology
flow visualization,graphics,technology
geometry,graphics,technology
graphic methods,graphics,technology
graphical user interfaces,graphics,technology
graphics systems and interfaces,graphics,technology
holograms,graphics,technology
image colour analysis,graphics,technology
image morphing,graphics,technology
image quality,graphics,technology
image resolution,graphics,technology
image texture,graphics,technology
interactive computer graphics,graphics,technology
luminance,graphics,technology
merging,graphics,technology
mesh generation,graphics,technology
molecular graphics,graphics,technology
optical images,graphics,technology
photochromism,graphics,technology
photographic accessories,graphics,technology
pixels,graphics,technology
pose estimation,graphics,technology
ray tracing,graphics,technology
rendering (computer graphics),graphics,technology
rendering,graphics,technology
spheres,graphics,technology
splines (mathematics),graphics,technology
splines,graphics,technology
superpixels,graphics,technology
surface reconstruction,graphics,technology
texturing,graphics,technology
three dimensional computer graphics,graphics,technology
transforms,graphics,technology
transparency,graphics,technology
aerial photography,input,technology
angular velocity,input,technology
audio-visual systems,input,technology
bar codes,input,technology
blind source separation,input,technology
cameras,input,technology
ccd cameras,input,technology
character recognition,input,technology
charge coupled devices,input,technology
charts,input,technology
color vision,input,technology
colorimetry,input,technology
communication,input,technology
compasses (magnetic),input,technology
compasses,input,technology
computer keyboards,input,technology
computer peripheral equipment,input,technology
controllers,input,technology
data acquisition,input,technology
data gloves,input,technology
decoding,input,technology
doppler effect,input,technology
electric relays,input,technology
electromagnetic fields,input,technology
electromagnetic forces,input,technology
electromechanical devices,input,technology
electron holography,input,technology
electronic nose,input,technology
electronic noses,input,technology
electro-optical devices,input,technology
emotion recognition,input,technology
encoding,input,technology
eye,input,technology
eye movements,input,technology
eye tracking,input,technology
face recognition,input,technology
feature selection,input,technology
fluorescence,input,technology
force feedback,input,technology
friction,input,technology
gaze tracking,input,technology
gesture recognition,input,technology
gyroscopes,input,technology
hand held computers,input,technology
handwriting recognition,input,technology
handwritten character recognition,input,technology
haptic interfaces,input,technology
hypertext systems,input,technology
image motion analysis,input,technology
image scanners,input,technology
image sensors,input,technology
indoor radio,input,technology
infrared imaging,input,technology
interactive devices,input,technology
interactive systems,input,technology
interactive systems and tools,input,technology
keyboards,input,technology
knobs,input,technology
language translation,input,technology
laptop computers,input,technology
laser ranging,input,technology
light,input,technology
light interference,input,technology
light modulation,input,technology
light modulators,input,technology
light pens,input,technology
light polarisation,input,technology
light polarization,input,technology
light propagation,input,technology
light reflection,input,technology
light sources,input,technology
light transmission,input,technology
lighting,input,technology
linguistics,input,technology
load testing,input,technology
magnetometers,input,technology
mammals,input,technology
matched filters,input,technology
mice (computer peripherals),input,technology
microphone arrays,input,technology
microphones,input,technology
mobile handsets,input,technology
motion analysis,input,technology
mouse controllers (computers),input,technology
mouse controllers,input,technology
natural language interfaces,input,technology
natural language processing systems,input,technology
notebook computers,input,technology
odors,input,technology
optical character recognition,input,technology
palmprint recognition,input,technology
personal communication systems,input,technology
personal computing,input,technology
photodetectors,input,technology
photoluminescence,input,technology
photometry,input,technology
position measurement,input,technology
qr codes,input,technology
radio frequency identification (rfid),input,technology
radio frequency identification,input,technology
radiofrequency interference,input,technology
refraction,input,technology
refractive index,input,technology
remote control,input,technology
reusability,input,technology
sand,input,technology
scanning,input,technology
sensor data fusion,input,technology
sensory perception,input,technology
sentiment analysis,input,technology
sign language recognition,input,technology
signal encoding,input,technology
speaker recognition,input,technology
spectroscopy,input,technology
speech,input,technology
speech based user interfaces,input,technology
speech communication,input,technology
speech enhancement,input,technology
speech intelligibility,input,technology
speech processing,input,technology
speech recognition,input,technology
speech synthesis,input,technology
speech-based user interfaces,input,technology
strain gages,input,technology
stray light,input,technology
synchronisation,input,technology
synchronization,input,technology
tactile sensors,input,technology
temperature indicating cameras,input,technology
text analysis,input,technology
text detection,input,technology
text processing,input,technology
textures,input,technology
thermocouples,input,technology
thermography (imaging),input,technology
touch (physiological),input,technology
touch,input,technology
touch screens,input,technology
touch sensitive screens,input,technology
triangulation,input,technology
ultrasonic devices,input,technology
ultrasonic imaging,input,technology
ultraviolet lamps,input,technology
ultra-wideband (uwb),input,technology
vibrations,input,technology
visible light communication,input,technology
visual perception,input,technology
voice activity detection,input,technology
voice communication,input,technology
volume rendering,input,technology
ambient intelligence,internet of things,technology
cognitive radio,internet of things,technology
incandescent lamps,internet of things,technology
industry 4.0,internet of things,technology
internet of things,internet of things,technology
led lamps,internet of things,technology
mechatronics,internet of things,technology
ad hoc networks,networks,technology
antenna phased arrays,networks,technology
backpropagation,networks,technology
bandwidth,networks,technology
bandwidth allocation,networks,technology
base stations,networks,technology
bluetooth,networks,technology
body area networks,networks,technology
body sensor networks,networks,technology
botnet,networks,technology
broadband networks,networks,technology
broadcasting,networks,technology
cables,networks,technology
client server computer systems,networks,technology
client-server systems,networks,technology
cloud computing,networks,technology
clouds,networks,technology
combined source-channel coding,networks,technology
computer centres,networks,technology
computer network management,networks,technology
computer networks,networks,technology
contrast media,networks,technology
convex optimization,networks,technology
convolution,networks,technology
data communication,networks,technology
data transfer,networks,technology
database management systems,networks,technology
digital storage,networks,technology
direct broadcasting by satellite,networks,technology
distributed computer systems,networks,technology
distributed processing,networks,technology
edge computing,networks,technology
fiber optic networks,networks,technology
file servers,networks,technology
firewalls,networks,technology
fog,networks,technology
fog computing,networks,technology
heterogeneous networks,networks,technology
high speed networks,networks,technology
hypermedia,networks,technology
infrared devices,networks,technology
internet,networks,technology
internet service providers,networks,technology
internetworking,networks,technology
ip networks,networks,technology
least mean squares methods,networks,technology
linear networks,networks,technology
local area networks,networks,technology
long short-term memory,networks,technology
low-power electronics,networks,technology
memory architecture,networks,technology
message passing,networks,technology
millimetre wave propagation,networks,technology
mimo communication,networks,technology
mimo systems,networks,technology
mobile ad hoc networks,networks,technology
mobile cloud computing,networks,technology
multicast communication,networks,technology
multicasting,networks,technology
multilayers,networks,technology
multimedia services,networks,technology
multiprotocol label switching,networks,technology
network architecture,networks,technology
network function virtualization,networks,technology
network interfaces,networks,technology
network layers,networks,technology
network management,networks,technology
network performance,networks,technology
network protocols,networks,technology
network servers,networks,technology
network-on-chip,networks,technology
networks (circuits),networks,technology
circuit networks,networks,technology
next generation networks,networks,technology
ofdm modulation,networks,technology
optical fibre networks,networks,technology
orthogonal frequency division multiplexing,networks,technology
packet switching,networks,technology
peer-to-peer computing,networks,technology
personal area networks,networks,technology
queueing networks,networks,technology
queueing theory,networks,technology
servers,networks,technology
service-oriented architecture,networks,technology
signalling protocols,networks,technology
software defined networking,networks,technology
telecommunication network management,networks,technology
telecommunication network routing,networks,technology
telecommunication network topology,networks,technology
telecommunication networks,networks,technology
transmission control protocol,networks,technology
transport protocols,networks,technology
virtual addresses,networks,technology
virtual machine,networks,technology
virtual private networks,networks,technology
wi fi,networks,technology
wide area networks,networks,technology
wi-fi,networks,technology
wireless channels,networks,technology
wireless lan,networks,technology
wireless local area networks (wlan),networks,technology
wireless mesh networks,networks,technology
wireless networks,networks,technology
wireless sensor networks,networks,technology
anthropomorphic robots,robotics,technology
biped locomotion,robotics,technology
chaos,robotics,technology
continuum mechanics,robotics,technology
cyber-physical systems,robotics,technology
decentralised control,robotics,technology
degrees of freedom (mechanics),robotics,technology
degrees of freedom,robotics,technology
dexterous manipulators,robotics,technology
end effectors,robotics,technology
environmental testing,robotics,technology
exoskeleton (robotics),robotics,technology
exoskeleton,robotics,technology
flexible manipulators,robotics,technology
human robot interaction,robotics,technology
humanoid robots,robotics,technology
human-robot interaction,robotics,technology
industrial manipulators,robotics,technology
industrial robots,robotics,technology
intelligent robots,robotics,technology
legged locomotion,robotics,technology
manipulator dynamics,robotics,technology
manipulator kinematics,robotics,technology
microrobots,robotics,technology
mobile robots,robotics,technology
modular robots,robotics,technology
motion control,robotics,technology
motion planning,robotics,technology
multi robot systems,robotics,technology
multipurpose robots,robotics,technology
multi-robot systems,robotics,technology
multi-robot systems,robotics,technology
pneumatic control,robotics,technology
recursive filters,robotics,technology
redundant manipulators,robotics,technology
rescue robots,robotics,technology
retroreflectors,robotics,technology
robot applications,robotics,technology
robot dynamics,robotics,technology
robot kinematics,robotics,technology
robot learning,robotics,technology
robot programming,robotics,technology
robot vision,robotics,technology
robotic arms,robotics,technology
robotics,robotics,technology
robots,robotics,technology
service robots,robotics,technology
slam (robots),robotics,technology
slam robotics,robotics,technology
spraying,robotics,technology
telerobotics,robotics,technology
trajectory control,robotics,technology
two term control systems,robotics,technology
visual servoing,robotics,technology
access control,security,technology
access protocols,security,technology
authentication,security,technology
authorisation,security,technology
blockchain,security,technology
channel coding,security,technology
computer crime,security,technology
computer network security,security,technology
computer privacy,security,technology
cryptographic protocols,security,technology
cryptography,security,technology
data protection,security,technology
digital forensics,security,technology
fingerprint identification,security,technology
fraud,security,technology
intrusion detection,security,technology
message authentication,security,technology
multi-access systems,security,technology
multiple access interference,security,technology
network security,security,technology
security of data,security,technology
security systems,security,technology
steganography,security,technology
subscriber loops,security,technology
surveillance,security,technology
trusted computing,security,technology
video surveillance,security,technology
actuators,semiconductors,technology
adaptive signal processing,semiconductors,technology
analogue circuits,semiconductors,technology
application specific integrated circuits,semiconductors,technology
array signal processing,semiconductors,technology
biomedical signal processing,semiconductors,technology
biomems,semiconductors,technology
cache storage,semiconductors,technology
capacitors,semiconductors,technology
cmos digital integrated circuits,semiconductors,technology
cmos image sensors,semiconductors,technology
cmos integrated circuits,semiconductors,technology
cmos logic circuits,semiconductors,technology
comparators (circuits),semiconductors,technology
comparators,semiconductors,technology
computer circuits,semiconductors,technology
coprocessors,semiconductors,technology
digital signal processing,semiconductors,technology
dram chips,semiconductors,technology
driver circuits,semiconductors,technology
elemental semiconductors,semiconductors,technology
embedded systems,semiconductors,technology
graphics processing unit,semiconductors,technology
graphics processing units,semiconductors,technology
iii-v semiconductors,semiconductors,technology
industrial electronics,semiconductors,technology
insulated gate bipolar transistors (igbt),semiconductors,technology
insulated gate bipolar transistors,semiconductors,technology
integrated circuit design,semiconductors,technology
integrated circuit reliability,semiconductors,technology
lc circuits,semiconductors,technology
liquid crystal on silicon,semiconductors,technology
mems,semiconductors,technology
microelectromechanical devices,semiconductors,technology
microelectronics,semiconductors,technology
micromirrors,semiconductors,technology
microprocessor chips,semiconductors,technology
mos devices,semiconductors,technology
mos integrated circuits,semiconductors,technology
mosfet,semiconductors,technology
mosfet devices,semiconductors,technology
multi threading,semiconductors,technology
multimedia signal processing,semiconductors,technology
multiplying circuits,semiconductors,technology
multiprocessing systems,semiconductors,technology
multi-threading,semiconductors,technology
optical signal processing,semiconductors,technology
optical transceivers,semiconductors,technology
organic light emitting diodes,semiconductors,technology
parallel architectures,semiconductors,technology
pipeline processing,semiconductors,technology
printed circuit boards,semiconductors,technology
printed circuit manufacture,semiconductors,technology
printed circuits,semiconductors,technology
program processors,semiconductors,technology
programmable controllers,semiconductors,technology
semiconductor device manufacture,semiconductors,technology
semiconductor epitaxial layers,semiconductors,technology
semiconductor growth,semiconductors,technology
semiconductor lasers,semiconductors,technology
semiconductor quantum wells,semiconductors,technology
silicon,semiconductors,technology
system-on-chip,semiconductors,technology
transceivers,semiconductors,technology
transducers,semiconductors,technology
uhf integrated circuits,semiconductors,technology
video signal processing,semiconductors,technology
vlsi circuits,semiconductors,technology
wide band gap semiconductors,semiconductors,technology
acceleration measurement,sensors,technology
accelerometers,sensors,technology
artificial satellites,sensors,technology
calibration,sensors,technology
capacitive sensors,sensors,technology
cooling,sensors,technology
electric potential,sensors,technology
fading channels,sensors,technology
feedforward,sensors,technology
flow sensors,sensors,technology
force sensors,sensors,technology
hysteresis,sensors,technology
impulse response,sensors,technology
infrared detectors,sensors,technology
intelligent sensors,sensors,technology
kinetics,sensors,technology
low-pass filters,sensors,technology
magnetic variables measurement,sensors,technology
magnetization,sensors,technology
magnetometers,sensors,technology
magneto-optical sensors,sensors,technology
microsensors,sensors,technology
millimetre wave radar,sensors,technology
motion measurement,sensors,technology
motion sensors,sensors,technology
near infrared spectroscopy,sensors,technology
nonlinear systems,sensors,technology
permanent magnets,sensors,technology
phase measurement,sensors,technology
phase shift keying,sensors,technology
photosensitivity,sensors,technology
pressure measurement,sensors,technology
pressure sensors,sensors,technology
probes,sensors,technology
radar clutter,sensors,technology
radar measurement,sensors,technology
radiofrequency identification,sensors,technology
remote sensing,sensors,technology
remote sensing by radar,sensors,technology
reverse engineering,sensors,technology
rotation measurement,sensors,technology
sensor fusion,sensors,technology
sensor networks,sensors,technology
sensor nodes,sensors,technology
sensor placement,sensors,technology
sensors,sensors,technology
sensory feedback,sensors,technology
sigma-delta modulation,sensors,technology
signal classification,sensors,technology
signal detection,sensors,technology
signal distortion,sensors,technology
signal processing,sensors,technology
signal reconstruction,sensors,technology
signaling,sensors,technology
smart sensors,sensors,technology
smoke,sensors,technology
source separation,sensors,technology
spatial light modulators,sensors,technology
spatial variables measurement,sensors,technology
spectrographs,sensors,technology
strain gauges,sensors,technology
strain sensors,sensors,technology
synthetic aperture radar,sensors,technology
temperature measurement,sensors,technology
temperature sensors,sensors,technology
thermography,sensors,technology
thermography (temperature measurement),sensors,technology
time measurement,sensors,technology
ultrasonic applications,sensors,technology
ultrasonic arrays,sensors,technology
ultrasonic measurement,sensors,technology
ultrasonics,sensors,technology
velocity measurement,sensors,technology
vibration measurement,sensors,technology
vibrations (mechanical),sensors,technology
abstracting,video,technology
closed circuit television,video,technology
digital video broadcasting,video,technology
entropy,video,technology
film preparation,video,technology
importance sampling,video,technology
interactive video,video,technology
media streaming,video,technology
motion pictures,video,technology
parameter estimation,video,technology
partial differential equations,video,technology
polynomial approximation,video,technology
polynomials,video,technology
probability,video,technology
rate distortion theory,video,technology
synthetic apertures,video,technology
television production,video,technology
vectors,video,technology
video cameras,video,technology
video codecs,video,technology
video coding,video,technology
video communication,video,technology
video on demand,video,technology
video recording,video,technology
video retrieval,video,technology
video streaming,video,technology
ontology,web services,technology
portals,web services,technology
semantic networks,web services,technology
semantic web,web services,technology
vocabulary,web services,technology
web browsers,web services,technology
web design,web services,technology
web services,web services,technology
web sites,web services,technology
websites,web services,technology
xml,web services,technology
computer mediated communication,collaboration,use cases
cooperative communication,collaboration,use cases
cooperative systems,collaboration,use cases
domes,collaboration,use cases
groupware,collaboration,use cases
image communication systems,collaboration,use cases
online conferencing,collaboration,use cases
social computing,collaboration,use cases
social networking (online),collaboration,use cases
social networking,collaboration,use cases
team working,collaboration,use cases
teleconferencing,collaboration,use cases
video conferencing,collaboration,use cases
accident prevention,"inspection, safety and quality",use cases
accidents,"inspection, safety and quality",use cases
alignment,"inspection, safety and quality",use cases
chemical attack,"inspection, safety and quality",use cases
chemical detection,"inspection, safety and quality",use cases
climate control,"inspection, safety and quality",use cases
defects,"inspection, safety and quality",use cases
disaster prevention,"inspection, safety and quality",use cases
domestic safety,"inspection, safety and quality",use cases
electrical safety,"inspection, safety and quality",use cases
error detection,"inspection, safety and quality",use cases
eye protection,"inspection, safety and quality",use cases
failure (mechanical),"inspection, safety and quality",use cases
mechanical failure,"inspection, safety and quality",use cases
failure analysis,"inspection, safety and quality",use cases
fault detection,"inspection, safety and quality",use cases
fault diagnosis,"inspection, safety and quality",use cases
fault tolerance,"inspection, safety and quality",use cases
fault tolerant computer systems,"inspection, safety and quality",use cases
fire extinguishers,"inspection, safety and quality",use cases
formal verification,"inspection, safety and quality",use cases
hazards,"inspection, safety and quality",use cases
health and safety,"inspection, safety and quality",use cases
health hazards,"inspection, safety and quality",use cases
health risks,"inspection, safety and quality",use cases
industrial hygiene,"inspection, safety and quality",use cases
inspection,"inspection, safety and quality",use cases
life testing,"inspection, safety and quality",use cases
measurement,"inspection, safety and quality",use cases
measurement errors,"inspection, safety and quality",use cases
measurement uncertainty,"inspection, safety and quality",use cases
monitoring,"inspection, safety and quality",use cases
natural radioactivity hazards,"inspection, safety and quality",use cases
negative bias temperature instability,"inspection, safety and quality",use cases
nondestructive examination,"inspection, safety and quality",use cases
nondestructive testing,"inspection, safety and quality",use cases
occupational health,"inspection, safety and quality",use cases
occupational risks,"inspection, safety and quality",use cases
occupational safety,"inspection, safety and quality",use cases
occupational stress,"inspection, safety and quality",use cases
operational amplifiers,"inspection, safety and quality",use cases
oscilloscopes,"inspection, safety and quality",use cases
process monitoring,"inspection, safety and quality",use cases
product quality,"inspection, safety and quality",use cases
quality assurance,"inspection, safety and quality",use cases
quality control,"inspection, safety and quality",use cases
quality function deployment,"inspection, safety and quality",use cases
quality management,"inspection, safety and quality",use cases
quality of experience,"inspection, safety and quality",use cases
radiation protection,"inspection, safety and quality",use cases
radiation shielding,"inspection, safety and quality",use cases
reliability analysis,"inspection, safety and quality",use cases
risk analysis,"inspection, safety and quality",use cases
risk assessment,"inspection, safety and quality",use cases
risk management,"inspection, safety and quality",use cases
risk perception,"inspection, safety and quality",use cases
safety,"inspection, safety and quality",use cases
safety critical software,"inspection, safety and quality",use cases
safety devices,"inspection, safety and quality",use cases
safety engineering,"inspection, safety and quality",use cases
safety factor,"inspection, safety and quality",use cases
safety systems,"inspection, safety and quality",use cases
safety-critical software,"inspection, safety and quality",use cases
scalability,"inspection, safety and quality",use cases
software performance evaluation,"inspection, safety and quality",use cases
software quality,"inspection, safety and quality",use cases
stability,"inspection, safety and quality",use cases
surveys,"inspection, safety and quality",use cases
system monitoring,"inspection, safety and quality",use cases
system stability,"inspection, safety and quality",use cases
systematic errors,"inspection, safety and quality",use cases
tensile testing,"inspection, safety and quality",use cases
testing,"inspection, safety and quality",use cases
total quality management,"inspection, safety and quality",use cases
water levels,"inspection, safety and quality",use cases
water quality,"inspection, safety and quality",use cases
wear,"inspection, safety and quality",use cases
wear of materials,"inspection, safety and quality",use cases
cartography,navigation,use cases
computerised navigation,navigation,use cases
direction-of-arrival estimation,navigation,use cases
distance measurement,navigation,use cases
electronic guidance systems,navigation,use cases
indoor environment,navigation,use cases
indoor navigation,navigation,use cases
mapping,navigation,use cases
maps,navigation,use cases
navigation,navigation,use cases
navigation systems,navigation,use cases
propellers,navigation,use cases
radio navigation,navigation,use cases
radionavigation,navigation,use cases
random errors,navigation,use cases
range finding,navigation,use cases
stairs,navigation,use cases
street traffic control,navigation,use cases
time-of-arrival estimation,navigation,use cases
trajectories,navigation,use cases
uncertainty analysis,navigation,use cases
artificial life,simulation,use cases
automobile simulators,simulation,use cases
computational fluid dynamics,simulation,use cases
computational mechanics,simulation,use cases
computer aided engineering,simulation,use cases
computer simulation,simulation,use cases
digital simulation,simulation,use cases
discrete event simulation,simulation,use cases
dynamical systems,simulation,use cases
finite element method,simulation,use cases
flight simulators,simulation,use cases
flow simulation,simulation,use cases
forensic science,simulation,use cases
gamification,simulation,use cases
plasma simulation,simulation,use cases
serious games,simulation,use cases
serious games (computing),simulation,use cases
simulation platform,simulation,use cases
simulators,simulation,use cases
surfaces,simulation,use cases
two phase flow,simulation,use cases
virtualisation,simulation,use cases
virtualization,simulation,use cases
zero gravity experiments,simulation,use cases
digital twin,smart cities,use cases
home automation,smart cities,use cases
intelligent buildings,smart cities,use cases
smart cities,smart cities,use cases
smart city,smart cities,use cases
street lighting,smart cities,use cases
town and country planning,smart cities,use cases
urban growth,smart cities,use cases
urban planning,smart cities,use cases
virtual prototyping,smart cities,use cases
apprentices,training,use cases
computer aided instruction,training,use cases
computer based training,training,use cases
industrial training,training,use cases
laboratories,training,use cases
on-the-job training,training,use cases
teacher training,training,use cases
technical presentation,training,use cases
training,training,use cases
vocational training,training,use cases
