LowLevel,MidLevel
3g mobile communication,telecommunication
4g mobile communication,telecommunication
mobile antennas,telecommunication
near-field communication,telecommunication
ultra wideband communication,telecommunication
optical communication,telecommunication
free space optical communication,telecommunication
optical communication equipment,telecommunication
optical fiber fabrication,telecommunication
optical fibers,telecommunication
telecommunication equipment,telecommunication
training,training
technical presentation,training
teacher training,training
industrial training,training
computer based training,training
computer aided instruction,training
apprentices,training
on-the-job training,training
vocational training,training
laboratories,training
motor transportation,transportation
travel industry,transportation
geotechnical structures,transportation
pedestrian safety,transportation
railway communication,transportation
air transportation,transportation
road traffic control,transportation
infrastructure,transportation
bridges,transportation
roads and streets,transportation
road accidents,transportation
road traffic,transportation
road safety,transportation
highway administration,transportation
highway planning,transportation
highway traffic control,transportation
parking,transportation
railroad stations,transportation
rails,transportation
roads,transportation
tunnels,transportation
highway accidents,transportation
vehicle to vehicle communications,transportation
bicycles,transportation
intelligent transportation systems,transportation
transportation,transportation
pedestrians,transportation
traffic engineering computing,transportation
public transport,transportation
traffic control,transportation
traffic signs,transportation
urban transportation,transportation
intelligent vehicle highway systems,transportation
stars,users
television broadcasting,users
television,users
studios,users
snow,users
students,users
engineers,users
sewage,utilities
water supply,utilities
water treatment,utilities
well stimulation,utilities
well testing,utilities
abstracting,video
importance sampling,video
parameter estimation,video
partial differential equations,video
polynomial approximation,video
polynomials,video
probability,video
rate distortion theory,video
vectors,video
entropy,video
interactive video,video
video recording,video
video codecs,video
video coding,video
video on demand,video
video retrieval,video
closed circuit television,video
digital video broadcasting,video
media streaming,video
video streaming,video
video communication,video
video cameras,video
film preparation,video
motion pictures,video
synthetic apertures,video
helmet mounted displays,wearables
stresses,wearables
laplace equations,wearables
headphones,wearables
cybernetics,wearables
wearable robots,wearables
wearable sensors,wearables
wearable technology,wearables
wearable computers,wearables
semantic networks,web services
vocabulary,web services
xml,web services
ontology,web services
web services,web services
web browsers,web services
web design,web services
semantic web,web services
websites,web services
portals,web services
"stem (science, technology, engineering and mathematics)",education
long term evolution,telecommunication
serious games (computing),simulation
smart phones,telecommunication
just in time,manufacturing
three dimensional printing,manufacturing
sustainability,"food, agriculture, and natural sciences"
mobile computing,telecommunication
program testing,developers
brain computer interface,human-computer interaction
sport,cultural heritage
cyber physical system,human-computer interaction
smart city,smart cities
web sites,web services
content based retrieval,data
computer generated holography,graphics
online front-ends,computer human interfaces
